date,quantity,price,amount
2026-08-17,0.17985611,111.2,20.00
2026-08-18,0.18132366,110.3,20.00
2026-08-19,0.18234865,109.68,20.00
2026-08-20,0.18241517,109.64,20.00
2026-08-21,0.18439977,108.46,20.00
2026-08-24,0.18443378,108.44,20.00
2026-08-25,0.18409425,108.64,20.00
2026-08-26,0.18392495,108.74,20.00
2026-08-27,0.18254837,109.56,20.00
2026-08-28,0.1819174,109.94,20.00
2026-09-01,0.18221574,109.76,20.00
2026-09-02,0.18291567,109.34,20.00
2026-09-03,0.18208302,109.84,20.00
2026-09-04,0.18079913,110.62,20.00
2026-09-07,0.18119224,110.38,20.00
2026-09-08,0.18188432,109.96,20.00
2026-09-09,0.18254837,109.56,20.00
2026-09-10,0.1830496,109.26,20.00
2026-09-11,0.18284878,109.38,20.00
2026-09-14,0.18338529,109.06,20.00
2026-09-15,0.18351991,108.98,20.00
2026-09-16,0.18331805,109.10,20.00
2026-09-17,0.18208302,109.84,20.00
2026-09-18,0.18027762,110.94,20.00
2026-09-21,0.17988846,111.18,20.00
2026-09-22,0.17790428,112.42,20.00
2026-09-23,0.17708517,112.94,20.00
